kind,rowid,owner,mid,date_ts,text,permalink,has_media,map_conf
post,41,rubpak54,290,,"DARTS для ЗСУ — донать і наближай перемогу!
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/290,0,
post,42,rubpak54,291,,"Дякуємо за вашу підтримку! Завдяки вам — нові літаки для DARTS вже в небі!
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com",https://t.me/rubpak54/291,0,
post,46,rubpak54,301,,"Піхота — це опора і щит на передовій, вона тримає рубежі ціною надлюдських зусиль. Наше завдання- зберегти життя піхотинців. Допомогти нам у боротьбі.
💳
Номер картки банки
4441111124473095
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/301,0,
post,50,rubpak54,265,,"Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/265,1,
post,54,rubpak54,273,,"Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/273,0,
post,58,rubpak54,281,,"Друзі, нам терміново потрібні FPV-дрони DARTS для точних ударів по ворогу!
Долучайтеся до збору!
Разом — до перемоги!
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/281,0,
post,59,rubpak54,282,,"Друзі, нам терміново потрібні FPV-дрони DARTS для точних ударів по ворогу!
Долучайтеся до збору!
Разом — до перемоги!
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/282,0,
post,63,rubpak54,246,,"Точність артилерії - це коли ворог не встигає навіть здивуватися.
Підтримай тих, хто захищає нашу країну! Слава Україні!
💙
💛
💳
PayPal: rubpak54ombr@gmail.com
💳
Номер картки: 4441 1111 2164 4169",https://t.me/rubpak54/246,0,
post,67,rubpak54,250,,"Гаубиця 2А65: точне ураження
😀
😃
Ваш внесок – це не просто техніка, це реальна допомога та підсилення наших можливостей.
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/250,0,
post,75,rubpak54,258,,"Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/258,0,
post,79,rubpak54,262,,"Знищення ворожої піхоти
🫡
Ми фокусуємось лише на знищенні ворога. Допомогти нам у боротьбі
💳
Номер картки банки
4441 1111 2164 4169
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
Дякуємо за підтримку, довіру і те, що ви з нами!
💙
💛",https://t.me/rubpak54/262,0,
post,81,rubpak54,222,,"Ховаємо русню у пожовклому листі
🍁
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/222,1,
post,82,rubpak54,223,,"Почуємо кожного
🦻
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/223,1,
post,85,rubpak54,226,,"Поки всі очікують наймасованіший обстріл, ми просто далі робимо свою роботу
🫡
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/226,1,
post,86,rubpak54,227,,"Крутіше нас тільки яйця
😎
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/227,0,
post,90,rubpak54,232,,"🎶
🎶
🎶
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/232,0,
post,91,rubpak54,233,,"Русня падає на землю разом з першим снігом
☃️
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/233,0,
post,93,rubpak54,235,,"Дякуємо учням харківського 160-го ліцею!
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/235,0,
post,94,rubpak54,236,,"Миколай приніс москалям вибухову лозину
🎅
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/236,0,
post,95,rubpak54,237,,"Проводимо передноворічні висотні роботи
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/237,0,
post,97,rubpak54,239,,"Підтримай своїм донатом Небесну Кару. Давай разом знищувати окупантів
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/239,0,
post,98,rubpak54,240,,"Приєднуйся до батальйону безпілотних систем “Небесна кара” 54 ОМБр!
Разом ми керуємо майбутнім бою, забезпечуючи точність і перевагу на полі бою. Твій талант і навички можуть врятувати життя та змінити хід подій. Стань частиною елітної команди, яка впевнено дивиться в небо і захищає рідну землю з висоти пташиного польоту!
bbc.mail2024@gmail.com
1) Лілія
+380734861669
(тільки WhatsApp)
2) Олександр
+380639372440 (тільки WhatsApp)
Просимо звертатися з 09:00 до 19:00",https://t.me/rubpak54/240,0,
post,99,rubpak54,241,,"Розносимо подарунки неслухняним хлопчикам
👹
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/241,0,
post,101,rubpak54,202,,"Запеклий повітряний бій з БПЛА zala
Хочете більше небесного русорізу? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/202,1,
post,102,rubpak54,203,,"Працюємо вашими FPV у небі та на землі
Хочете більше небесного русорізу? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/203,1,
post,103,rubpak54,204,,"Дякуємо учням 160 ліцею міста Харків!
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/204,0,
post,105,rubpak54,206,,"Працюємо без вихідних вашими FPV
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/206,0,
post,106,rubpak54,207,,"При корегуванні ББС ""Небесна Кара"" був знищений 2С7 ""ПІОН"" з особовим складом противника та БК!
Хочете більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/207,0,
post,107,rubpak54,208,,"Працюємо вашими FPV
🔥
Кожна гривня точно в ціль
🎯
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/208,0,
post,109,rubpak54,210,,"Твій донат - вклад в Перемогу!
Хочеш більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/210,0,
post,110,rubpak54,211,,"Твій донат - вклад в Перемогу!
Частина 2
Хочеш більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/211,0,
post,111,rubpak54,212,,"Ми живемо, поки боремося
Хочеш більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/212,0,
post,113,rubpak54,214,,"Бойова Жирна Панда
🐼
Хочеш більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/214,0,
post,115,rubpak54,220,,"Не даємо русні спати вночі
😈
Хочеш більше подібних відео? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/220,0,
post,116,rubpak54,221,,"Казали ж йому: «Не стій посеред дороги, зібʼють!»
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/221,0,
post,117,rubpak54,174,,"Свою популярність ми завоювали важкою працею, ніяк інакше
😤
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/174,1,
post,118,rubpak54,175,,"Всі ми такі
😈
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/175,0,
post,119,rubpak54,176,,"Часом дуже важко стриматись
😈
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/176,0,
post,121,rubpak54,178,,"Звіт роботи ваших FPV за липень
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/178,0,
post,123,rubpak54,180,,"😢
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/180,0,
post,124,rubpak54,181,,"Є трошки
🤪
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/181,0,
post,127,rubpak54,184,,"Для настрою
🤩
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/184,0,
post,129,rubpak54,194,,"Збираємо на БПЛК «Дартс» для ще ефективнішого знищення ворога
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/194,0,
post,130,rubpak54,195,,"Як штучний інтелект змінить війни майбутнього
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/195,0,
post,131,rubpak54,196,,"Відкриваємо збір на 150 FPV
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/196,0,
post,132,rubpak54,197,,"Щиро вдячні інформаційному інтернет-порталу
Meta.ua
, благодійному фонду ""Ти потрібен"" та Норберту Улю!
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/197,0,
post,133,rubpak54,198,,"Хіба не в цьому щастя?
😎
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/198,0,
post,134,rubpak54,199,,"Помстимося за Харків!
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/199,0,
post,135,rubpak54,200,,"Там виживають лише найсильніші
😈
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/200,0,
post,136,rubpak54,201,,"У самурая немає цілі, лише шлях
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/201,0,
post,137,rubpak54,153,,"Успішна робота дуже товстого FPV
💥
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/153,1,
post,139,rubpak54,155,,"""День бою — 20 FPV. Гроші великі, але й ціна — існування держави"". Інтерв'ю комбата ""Небесної Кари""
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/155,0,
post,140,rubpak54,157,,"Хочемо подякувати підписникам Василя Байдака, Кості Трембовецького і Megogo за донати зібрані під час коментування футболу
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/157,0,
post,141,rubpak54,158,,"""Віра дозволяє боронити Україну"". Історія бійця, який розробляє FPV-дрони у 54-й бригаді
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/158,0,
post,143,rubpak54,161,,"Працюємо без електрики 24/7 вашими FPV
⚡️
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/161,0,
post,144,rubpak54,162,,"Креативимо, як можемо
😉
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/162,0,
post,145,rubpak54,163,,"Думав, що сховався за стовпом
🤣
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/163,0,
post,146,rubpak54,164,,"ЦЕЙ БАТАЛЬЙОН ЛЯКАЄ РОСІЯН ДО СМЕРТІ! Як дрон ""Кажан"" ПОЛЮЄ на ОКУПАНТІВ та їхню техніку
Хочете більше дохлих кацапів? Приєднуйтесь до нашого збору
👇
🔗
Посилання на банку та номер картки:
https://linktr.ee/54rubpak
PayPal: rubpak54ombr@gmail.com
❤️‍🩹
Щоб підтримати збір, можна закинути 5-10-15 гривень, адже кожна гривня важлива
Дякуємо за підтримку та донати!",https://t.me/rubpak54/164,0,
